SURVEY_YEAR,IMMATMALE_MILLIONS,MATMALE_MILLIONS,MATMALE_CI_MILLIONS,LEGAL_MILLIONS,IMMATFEM_MILLIONS,MATFEM_MILLIONS,MATFEM_CI_MILLIONS
1975,83.9,40.4,14,22.3,32.6,79.5,43.8
1976,140.3,76.2,39.5,36.4,30.4,86.5,41.1
1977,99.9,70.6,26,36.1,15.4,146.2,52.3
1978,89.5,67.9,30.7,38.5,27.8,161.3,61.9
1979,33.4,38,19.1,23.6,22.1,57.9,20.3
1980,70.8,51.3,25.3,37.5,34.4,87.9,66.4
1981,41.1,18.4,5.4,9.7,13.1,58.4,29.6
1982,110.9,12,4.9,4,72.4,52.9,21.8
1983,46.2,5.7,1.5,1.3,23.8,8.7,3.6
1984,164.9,9.1,4.7,3.3,109.8,27.4,23.9
1985,16.8,7.6,2.2,2.3,4.3,8.4,4.1
1986,15.2,14.8,14.6,5.6,5.2,6.4,3.6
1987,24.4,14.6,7,7.3,17.4,18.5,11.4
1988,11.3,11.6,4,7.5,2.5,20.1,17
1989,10,15.1,6.5,10.4,3.9,13.2,8.6
1990,9.7,13.7,6.1,8.9,7.8,17,13.8
1991,9.7,23.2,26.1,18.5,4.8,14.9,13.8
1992,8.3,7.5,3,4.6,2.3,10.2,4.9
1993,8.2,12.5,5.6,7,2.8,14,7
1994,7.1,8.6,2.9,4.8,3.8,6.1,2.5
1995,11,9.1,6.9,5.9,6.1,6.3,3
1996,17.5,7.2,2.8,5.3,14.3,9.8,5.6
1997,32.6,12.3,4.8,9.2,5.1,21.8,17.1
1998,16.8,15.4,5,6.8,6.3,31.7,17.5
1999,11.3,17.4,7.7,11.7,4.1,15.4,10.8
2000,10.7,14,4.9,8.4,6.3,21,13.6
2001,12,7.4,2.2,5.1,4.3,20.9,12.9
2002,22.9,13.6,5.2,8.6,17.6,17,9.7
2003,18.8,24.4,19.4,17.1,13.2,28.3,13.2
2004,43.3,23.7,19.8,18,19.7,31.7,18.9
2005,31.5,15.6,5.4,9.6,23.6,35.6,15.3
2006,21.2,16.4,7.2,11.8,16.9,31,12.2
2007,17.5,18.2,7.1,12.3,4.5,35.8,16.3
2008,17.1,20.9,13.8,12.9,3.7,36.8,24.3
2009,9.6,15.6,11.5,8.3,1.7,35.8,22.4
2010,6.5,14.7,7,9.4,1.2,31.5,17.4
2011,37.5,9.3,3.9,6.1,33,29.3,15.1
2012,8,9.7,4.9,6.7,7.6,19.6,13.2
2013,6.7,12.9,5.3,9.4,1.3,15.6,11.1
2014,15.5,19.7,7.3,12.4,2.8,36.9,17
2015,6.7,11.6,4,8.7,2.4,18.4,10.6
2016,4.7,9,2.6,7.1,3.6,22.4,11.6
2017,3.3,7.7,2.7,6.4,2.5,17.5,8.6
2018,3.8,4.6,1.2,3.8,1.4,9,4
2019,3.7,5,1.6,2.9,1.2,8.4,3.1
2021,3.5,6.3,2.3,4.4,1.4,6.3,2.9
